booking_id,booking_date,cancel_date,checkin_date,checkout_date,is_canceled
158,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
159,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
160,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
161,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
162,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
163,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
164,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
165,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
166,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
167,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
168,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
169,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
170,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
171,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
172,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
173,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
174,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
175,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
176,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
177,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
178,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
179,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
180,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
181,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
182,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
183,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
184,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
185,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
186,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
187,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
188,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
189,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
190,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
191,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
192,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
193,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
194,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
195,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
196,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
197,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
198,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
199,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
200,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
201,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
202,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
203,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
204,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
205,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
206,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
207,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
208,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
209,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
210,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
211,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
212,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
213,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
214,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
215,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
216,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
217,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
218,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
219,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
220,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
221,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
222,1/1/2015,1/21/2015,9/17/2015,9/20/2015,1
223,1/1/2015,3/17/2015,7/11/2015,7/18/2015,1
224,1/1/2015,3/31/2015,7/7/2015,7/14/2015,1
225,1/1/2015,4/15/2015,8/15/2015,8/22/2015,1
226,1/1/2015,4/15/2015,8/23/2015,8/29/2015,1
227,1/1/2015,4/29/2015,8/1/2015,8/9/2015,1
228,1/1/2015,5/29/2015,9/10/2015,9/17/2015,1
229,1/1/2015,6/13/2015,8/31/2015,9/6/2015,1
230,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
231,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
232,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
233,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
234,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
235,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
236,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
237,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
238,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
239,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
240,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
241,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
242,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
243,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
244,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
245,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
246,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
247,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
248,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
249,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
250,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
251,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
252,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
253,1/1/2015,6/17/2015,9/2/2015,9/9/2015,1
254,1/1/2015,6/18/2015,7/16/2015,7/19/2015,1
255,1/1/2015,,7/1/2015,7/5/2015,0
256,1/1/2015,,7/9/2015,7/16/2015,0
257,1/1/2015,,7/9/2015,7/16/2015,0
258,1/1/2015,,7/4/2015,7/19/2015,0
259,1/1/2015,,7/14/2015,7/23/2015,0
260,1/1/2015,,7/10/2015,7/24/2015,0
261,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
262,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
263,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
264,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
265,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
266,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
267,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
268,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
269,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
270,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
271,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
272,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
273,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
274,1/1/2015,8/1/2015,9/2/2015,9/9/2015,1
275,1/1/2015,8/4/2015,8/7/2015,8/11/2015,1
276,1/1/2015,8/7/2015,8/8/2015,8/15/2015,1
277,1/1/2015,,8/1/2015,8/13/2015,0
278,1/1/2015,,8/1/2015,8/13/2015,0
279,1/1/2015,8/27/2015,9/24/2015,9/30/2015,1
280,1/1/2015,,8/28/2015,9/11/2015,0
281,1/1/2015,,8/22/2015,8/29/2015,0
282,1/1/2015,8/29/2015,9/2/2015,9/9/2015,1
283,1/1/2015,,8/25/2015,9/1/2015,0
284,1/1/2015,,9/2/2015,9/9/2015,0
285,1/1/2015,,9/2/2015,9/9/2015,0
286,1/1/2015,,9/2/2015,9/9/2015,0
287,1/1/2015,,9/2/2015,9/9/2015,0
288,1/1/2015,,9/2/2015,9/9/2015,0
289,1/1/2015,,9/2/2015,9/9/2015,0
290,1/1/2015,,9/2/2015,9/9/2015,0
291,1/1/2015,,9/2/2015,9/9/2015,0
292,1/1/2015,,9/2/2015,9/9/2015,0
293,1/1/2015,,9/2/2015,9/9/2015,0
294,1/1/2015,,9/2/2015,9/9/2015,0
295,1/1/2015,,9/10/2015,9/14/2015,0
296,1/1/2015,,9/12/2015,9/16/2015,0
297,1/1/2015,,9/12/2015,9/16/2015,0
298,1/1/2015,,9/12/2015,9/16/2015,0
299,1/1/2015,,9/12/2015,9/16/2015,0
300,1/1/2015,,9/12/2015,9/16/2015,0
301,1/1/2015,,9/12/2015,9/16/2015,0
302,1/1/2015,,9/12/2015,9/16/2015,0
303,1/1/2015,,9/12/2015,9/16/2015,0
304,1/1/2015,,9/12/2015,9/16/2015,0
305,1/1/2015,,9/12/2015,9/16/2015,0
306,1/1/2015,,9/12/2015,9/16/2015,0
307,1/1/2015,,9/12/2015,9/16/2015,0
308,1/1/2015,,9/12/2015,9/16/2015,0
309,1/1/2015,,9/12/2015,9/16/2015,0
310,1/1/2015,,9/12/2015,9/16/2015,0
311,1/1/2015,,9/12/2015,9/16/2015,0
312,1/1/2015,,9/12/2015,9/16/2015,0
313,1/1/2015,,9/12/2015,9/16/2015,0
314,1/1/2015,,9/12/2015,9/16/2015,0
315,1/1/2015,,9/12/2015,9/16/2015,0
316,1/1/2015,,9/12/2015,9/16/2015,0
317,1/1/2015,,9/12/2015,9/16/2015,0
318,1/1/2015,,9/10/2015,9/17/2015,0
319,1/1/2015,,9/4/2015,9/18/2015,0
320,1/1/2015,,9/15/2015,9/20/2015,0
321,1/1/2015,,9/15/2015,9/23/2015,0
322,1/1/2015,,9/11/2015,9/25/2015,0
323,1/1/2015,9/28/2015,9/30/2015,10/3/2015,1
324,1/1/2015,9/28/2015,9/30/2015,10/3/2015,1
325,1/1/2015,9/28/2015,9/30/2015,10/3/2015,1
326,1/1/2015,9/28/2015,9/30/2015,10/3/2015,1
327,1/1/2015,,9/24/2015,9/30/2015,0
328,1/1/2015,,9/24/2015,9/30/2015,0
329,1/1/2015,,9/24/2015,9/30/2015,0
330,1/1/2015,,9/24/2015,9/30/2015,0
331,1/1/2015,,9/18/2015,10/2/2015,0
332,1/1/2015,,9/18/2015,10/2/2015,0
333,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
334,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
335,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
336,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
337,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
338,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
339,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
340,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
341,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
342,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
343,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
344,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
345,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
346,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
347,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
348,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
349,1/1/2015,10/2/2015,10/5/2015,10/19/2015,1
350,1/1/2015,,9/30/2015,10/3/2015,0
351,1/1/2015,,9/30/2015,10/3/2015,0
352,1/1/2015,,9/30/2015,10/3/2015,0
353,1/1/2015,,9/30/2015,10/3/2015,0
354,1/1/2015,,9/30/2015,10/3/2015,0
355,1/1/2015,,9/30/2015,10/3/2015,0
356,1/1/2015,,9/30/2015,10/3/2015,0
357,1/1/2015,,9/30/2015,10/3/2015,0
358,1/1/2015,,9/30/2015,10/3/2015,0
359,1/1/2015,,9/30/2015,10/3/2015,0
360,1/1/2015,,9/30/2015,10/3/2015,0
361,1/1/2015,,9/30/2015,10/3/2015,0
362,1/1/2015,,9/30/2015,10/3/2015,0
363,1/1/2015,,9/30/2015,10/3/2015,0
364,1/1/2015,,9/27/2015,10/5/2015,0
365,1/1/2015,,9/28/2015,10/8/2015,0
366,1/1/2015,10/12/2015,10/15/2015,10/19/2015,1
367,1/1/2015,,10/14/2015,10/20/2015,0
368,1/1/2015,,10/15/2015,10/19/2015,0
369,1/1/2015,,10/15/2015,10/18/2015,0
370,1/1/2015,,10/15/2015,10/18/2015,0
371,1/1/2015,,10/14/2015,10/15/2015,0
372,1/1/2015,,10/14/2015,10/15/2015,0
373,1/1/2015,,10/15/2015,10/19/2015,0
374,1/1/2015,,10/15/2015,10/16/2015,0
375,1/1/2015,,10/15/2015,10/18/2015,0
376,1/1/2015,,10/15/2015,10/18/2015,0
377,1/1/2015,,10/15/2015,10/18/2015,0
378,1/1/2015,,10/15/2015,10/18/2015,0
379,1/1/2015,,10/15/2015,10/18/2015,0
380,1/1/2015,,10/15/2015,10/18/2015,0
381,1/1/2015,,10/15/2015,10/18/2015,0
382,1/1/2015,,10/15/2015,10/18/2015,0
383,1/1/2015,,10/15/2015,10/18/2015,0
384,1/1/2015,,10/15/2015,10/18/2015,0
385,1/1/2015,,10/15/2015,10/18/2015,0
386,1/1/2015,,10/15/2015,10/18/2015,0
387,1/1/2015,,10/15/2015,10/18/2015,0
388,1/1/2015,,10/15/2015,10/18/2015,0
389,1/1/2015,,10/15/2015,10/18/2015,0
390,1/1/2015,,10/15/2015,10/18/2015,0
391,1/1/2015,,10/15/2015,10/18/2015,0
392,1/1/2015,,10/15/2015,10/18/2015,0
393,1/1/2015,,10/15/2015,10/18/2015,0
394,1/1/2015,,10/15/2015,10/18/2015,0
395,1/1/2015,,10/15/2015,10/18/2015,0
396,1/1/2015,,10/15/2015,10/19/2015,0
397,1/1/2015,,10/15/2015,10/19/2015,0
398,1/1/2015,,10/15/2015,10/19/2015,0
399,1/1/2015,,10/15/2015,10/19/2015,0
400,1/1/2015,,10/15/2015,10/19/2015,0
401,1/1/2015,,10/14/2015,10/19/2015,0
402,1/1/2015,,10/15/2015,10/19/2015,0
403,1/1/2015,,10/15/2015,10/19/2015,0
404,1/1/2015,,10/15/2015,10/19/2015,0
405,1/1/2015,,10/15/2015,10/19/2015,0
406,1/1/2015,,10/15/2015,10/19/2015,0
407,1/1/2015,,10/15/2015,10/19/2015,0
408,1/1/2015,,10/15/2015,10/19/2015,0
409,1/1/2015,,10/15/2015,10/19/2015,0
410,1/1/2015,,10/15/2015,10/19/2015,0
411,1/1/2015,,10/15/2015,10/19/2015,0
412,1/1/2015,,10/15/2015,10/19/2015,0
413,1/1/2015,,10/15/2015,10/19/2015,0
414,1/1/2015,,10/15/2015,10/19/2015,0
415,1/1/2015,,10/15/2015,10/19/2015,0
416,1/1/2015,,10/14/2015,10/19/2015,0
417,1/1/2015,,10/15/2015,10/19/2015,0
418,1/1/2015,,10/15/2015,10/19/2015,0
419,1/1/2015,,10/15/2015,10/19/2015,0
420,1/1/2015,,10/15/2015,10/19/2015,0
421,1/1/2015,,10/15/2015,10/19/2015,0
422,1/1/2015,,10/15/2015,10/19/2015,0
423,1/1/2015,,10/15/2015,10/19/2015,0
424,1/1/2015,,10/15/2015,10/19/2015,0
425,1/1/2015,,10/15/2015,10/19/2015,0
426,1/1/2015,,10/15/2015,10/19/2015,0
427,1/1/2015,,10/15/2015,10/19/2015,0
428,1/1/2015,,10/15/2015,10/19/2015,0
429,1/1/2015,,10/15/2015,10/19/2015,0
430,1/1/2015,,10/15/2015,10/19/2015,0
431,1/1/2015,,10/15/2015,10/19/2015,0
432,1/1/2015,,10/15/2015,10/19/2015,0
433,1/1/2015,,10/15/2015,10/19/2015,0
434,1/1/2015,,10/15/2015,10/19/2015,0
435,1/1/2015,,10/15/2015,10/19/2015,0
436,1/1/2015,,10/15/2015,10/19/2015,0
437,1/1/2015,,10/15/2015,10/19/2015,0
438,1/1/2015,,10/15/2015,10/19/2015,0
439,1/1/2015,,10/15/2015,10/19/2015,0
440,1/1/2015,,10/13/2015,10/19/2015,0
441,1/1/2015,,10/15/2015,10/19/2015,0
442,1/1/2015,,10/15/2015,10/19/2015,0
443,1/1/2015,,10/15/2015,10/19/2015,0
444,1/1/2015,,10/15/2015,10/20/2015,0
445,1/1/2015,,10/15/2015,10/20/2015,0
446,1/1/2015,,10/14/2015,10/20/2015,0
447,1/1/2015,,10/14/2015,10/20/2015,0
448,1/1/2015,,10/14/2015,10/20/2015,0
449,1/1/2015,,10/15/2015,10/20/2015,0
450,1/1/2015,,10/14/2015,10/20/2015,0
451,1/1/2015,,10/14/2015,10/20/2015,0
452,1/1/2015,,10/6/2015,10/20/2015,0
453,1/1/2015,,10/13/2015,10/21/2015,0
454,1/1/2015,,10/14/2015,10/21/2015,0
455,1/1/2015,,10/14/2015,10/21/2015,0
456,1/1/2015,,10/14/2015,10/21/2015,0
457,1/1/2015,,10/13/2015,10/21/2015,0
458,1/1/2015,,10/14/2015,10/21/2015,0
459,1/1/2015,,10/15/2015,10/21/2015,0
460,1/1/2015,,10/15/2015,10/21/2015,0
461,1/1/2015,,10/15/2015,10/22/2015,0
462,1/1/2015,,10/15/2015,10/23/2015,0
463,1/1/2015,,10/15/2015,10/23/2015,0
464,1/2/2015,,8/14/2015,8/19/2015,0
465,1/2/2015,5/19/2015,7/4/2015,7/18/2015,1
466,1/2/2015,,7/6/2015,7/13/2015,0
467,1/2/2015,1/21/2015,9/15/2015,10/13/2015,1
468,1/2/2015,1/22/2015,9/20/2015,9/26/2015,1
469,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
470,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
471,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
472,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
473,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
474,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
475,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
476,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
477,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
478,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
479,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
480,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
481,1/2/2015,1/30/2015,10/4/2015,10/6/2015,1
